,en,ru,uk,es,ja
MULTI_THREAD_INFO,Experimental feature,Экспериментальная функция,Експериментальна функція,,
MULTI_THREAD,Beta: Loading in multithread,Бета: Загрузка в мультипотоке,Бета: Мульти завантаження ресурсів,,
KEY_HELLO,Hello!,,,Hola!,こんにちは
KEY_PUSH,Push Me!,,,Aprétame!,押す
ANIME_001,The Seven Deadly Sins,Семь смертных грехов,Сім смертних гріхів,,
ANIME_002,Akame ga Kill,Убийца Акаме,Вбивця Акамі,,
ANIME_003,One Piece,Ван-Пис,Ван-Піс,,
ANIME_004,Fullmetal Alchemist Brotherhood,Стальной алхимик: Братство,Сталевий алхімік: Братство,,
ANIME_005,Rage of Bahamut,Ярость Бахамута: Генезис,Лють Бахамута: Генезис,,
ANIME_006,A Silent Voice,Форма голоса,Форма голосу,,
ANIME_007,YOUR NAME,Твоё имя,Твоє ім'я,,
ANIME_008,ANOHANA: THE FLOWER WE SAW THAT DAY,Невиданный цветок,Небачена квітка,,
ANIME_009,ERASED,"Город, в котором меня нет","Місто, в якому мене немає",,
ANIME_010,YOUR LIE IN APRIL,Твоя апрельская ложь,Твоя квітнева брехня,,
ANIME_011,Beyond the Boundary,По ту сторону границы,По той бік кордону,,
ANIME_012,Noragami,Бездомный бог,Бездомний бог,,
ANIME_013,Blue Exorcist,Синий экзорцист,Синій Екзорцист,,
ANIME_014,Myriad Colors Phantom World,Мириады цветов фантомного мира,Міріади квітів фантомного світу,,
ANIME_015,"Love, Chunibyou, and Other Delusions",Чудачества любви не помеха,Дивацтва кохання не завада,,
ANIME_016,Black Butler,Тёмный дворецкий,Темний дворецький,,
ANIME_017,Gosick,Готика,Готика,,
ANIME_018,Hellsing,Хеллсинг: Война с нечистью,Хеллсінг: Війна з нечистю,,
ANIME_019,D Gray Man,Ди Грэй-мен,Ді Грей-мен,,
ANIME_020,Moriarty the Patriot,Патриотизм Мориарти,Патріотизм Моріарті,,
ANIME_021,D.Gray Man,Ди Грэй-мен,Ді Грей-мен,,
ANIME_022,Fullmetal Alchemist: Brotherhood,Стальной алхимик: Братство,Сталевий алхімік: Братство,,
ANIME_023,Boys Over Flowers,Сначала парни — потом цветы,Спочатку хлопці – потім квіти,,
ANIME_024,Peach Girl,Красотка,Красуня,,
ANIME_025,Marmalade Boy,Мальчик-мармелад,Хлопчик-мармелад,,
ANIME_026,His and Her Circumstances,С его стороны — с её стороны,З його боку – з її боку,,
ANIME_027,Rumbling Hearts,Беспокойные сердца,Стурбовані серця,,
ANIME_028,Dance With Devils,Танец с демонами,Танець із демонами,,
ANIME_029,Kamisama Kiss,"Очень приятно, Бог",Дуже приємно Бог,,
ANIME_030,Yona of the Dawn,Йона на заре,Йона на зорі,,
ANIME_031,Brothers Conflict,Конфликт братьев,Конфлікт братів,,
ANIME_032,Amnesia,Амнезия,Амнезія,,
ANIME_033,Fruit Basket,Корзинка фруктов,Кошик фруктів,,
ANIME_034,Nisekoi,Притворная любовь,Удаване кохання,,
ANIME_035,We Never Learn: BOKUBEN,Мы не можем учиться,Ми не можемо вчитися,,
ANIME_036,Senryu Girl,Девушка-сэнрю,Дівчина-сенрю,,
ANIME_037,Sword Art Online,Мастера Меча Онлайн,Майстри меча онлайн,,
ANIME_038,Hanasaku Iroha,Азбука цветов,Азбука квітів,,
ANIME_039,Spirited Away,Унесённые призраками,Віднесені привидами,,
ANIME_040,Clannad,Кланнад,Кланнад,,
ANIME_041,Haibane Renmei,Союз Серокрылых,Союз Сірокрилих,,
ANIME_042,Inu x Boku SS,Я и мой слуга из секретной службы,Я і мій слуга із секретної служби,,
ANIME_043,Fruits Basket,Корзинка фруктов,Кошик фруктів,,
ANIME_044,Blend S,Садистская смесь,Садистська суміш,,
ANIME_045,Toradora!,Торадора!,Торадора!,,
ANIME_046,Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Может, я встречу тебя в подземелье?","Може, я зустріну тебе в підземеллі?",,
ANIME_047,KonoSuba: God's Blessing on this Wonderful World!,Этот замечательный мир!,Цей чудовий світ!,,
ANIME_048,Grimgar of Fantasy and Ash,Гримгал пепла и иллюзий,Гримгал попелу та ілюзій,,
ANIME_049,Gate,Врата,Брама,,
ANIME_050,Tower of Druaga,Башня Друаги,Вежа Друаги,,
ANIME_051,Kimi ni Todoke From Me to You,Достучаться до тебя,Достукатись до тебе,,
ANIME_052,The Wallflower,Семь обличий Ямато Надэсико,Сім виразів Ямато Надесіко,,
ANIME_053,Kotoura-san,Котора-сан,Котоура-сан,,
ANIME_054,ReLife,Повторная жизнь,Повторне життя,,
ANIME_055,Horimiya,Хори-сан и Миямура-кун,Хорі-сан та Міямура-кун,,
ANIME_056,K-On,Кэйон,Кейон,,
ANIME_057,A-CHANNEL,Канал А,Канал А,,
ANIME_058,SOUND OF THE SKY,Звуки небес,Звуки небес,,
ANIME_059,YURU YURI,Лилии на ветру,Лілії на вітрі,,
ANIME_060,TARI TARI,"И то, и другое",І те і інше,,
ANIME_061,"Love, Chunibyo & Other Delusions",Чудачества любви не помеха,Дивацтва кохання не завада,,
ANIME_062,The Melancholy of Haruhi Suzumiya,Меланхолия Харухи Судзумии,Меланхолія Харухі Судзумії,,
ANIME_063,Oreshura,Меж двух огней — Девушка и подруга детства,Між двома вогнями — Дівчина і подруга дитинства,,
ANIME_064,Ground Control to Psychoelectric Girl,Радиосигнал от чудачки. Юноша на связи,Радіосигнал від дива. Хлопець на зв'язку,,
ANIME_065,Nagi no Asukara,Безоблачное завтра,Безхмарне завтра,,
ANIME_066,Glasslip,По ту сторону стекла,По той бік скла,,
ANIME_067,Waiting In The Summer,Мы ждём тебя летом,Ми чекаємо на тебе влітку,,
ANIME_068,Kokoro Connect,Связь сердец,Зв'язок сердець,,
