,en,ru,pr,uk,es,ja
KEY_HELLO,Hello!,,,,Hola!,こんにちは
KEY_PUSH,Push Me!,,,,Aprétame!,押す
ANIME_001,The Seven Deadly Sins,Семь смертных грехов,ну типа грешки и их 7,Сім смертних гріхів,,
ANIME_002,Akame ga Kill,Убийца Акаме,убийца чепушила какой то акаме,Вбивця Акамі,,
ANIME_003,One Piece,Ван-Пис,один кусок,Ван-Піс,,
ANIME_004,Fullmetal Alchemist Brotherhood,Стальной алхимик: Братство,цельнометалический ягурщик,Сталевий алхімік: Братство,,
ANIME_005,Rage of Bahamut,Ярость Бахамута: Генезис,хуениз чета и ярость лютая бахи,Лють Бахамута: Генезис,,
ANIME_006,A Silent Voice,Форма голоса,голосок формы,Форма голосу,,
ANIME_007,YOUR NAME,Твоё имя,твое погоняло,Твоє ім'я,,
ANIME_008,ANOHANA: THE FLOWER WE SAW THAT DAY,Невиданный цветок,не опознанное чота,Небачена квітка,,
ANIME_009,ERASED,"Город, в котором меня нет",город без меня,"Місто, в якому мене немає",,
ANIME_010,YOUR LIE IN APRIL,Твоя апрельская ложь,твой ложь в апреля,Твоя квітнева брехня,,
ANIME_011,Beyond the Boundary,По ту сторону границы,на той стороне епта,По той бік кордону,,
ANIME_012,Noragami,Бездомный бог,без определенного места жительства,Бездомний бог,,
ANIME_013,Blue Exorcist,Синий экзорцист,священик с синькой,Синій Екзорцист,,
ANIME_014,Myriad Colors Phantom World,Мириады цветов фантомного мира,чота про цветочки типа с фантомным миром епта,Міріади квітів фантомного світу,,
ANIME_015,"Love, Chunibyou, and Other Delusions",Чудачества любви не помеха,дураку любовь прилипает,Дивацтва кохання не завада,,
ANIME_016,Black Butler,Тёмный дворецкий,чепушило ч0рный у параши,Темний дворецький,,
ANIME_017,Gosick,Готика,русский совхоз,Готика,,
ANIME_018,Hellsing,Хеллсинг: Война с нечистью,меченый адом,Хеллсінг: Війна з нечистю,,
ANIME_019,D Gray Man,Ди Грэй-мен,дибил Серый-мужик,Ді Грей-мен,,
